"","layer_OBJECTID","ldensity"
"Central US forest-grasslands transition",140,3.550187927864
"Central Indochina dry forests",141,1.61660721134032
"Central Korean deciduous forests",142,1.6920615104426
"Central Mexican matorral",143,2.16228419158302
"Central Pacific Northwest coastal forests",144,3.71613379296748
"Central Persian desert basins",145,0.989319566583888
"Central Range Papuan montane rain forests",147,4.67883806623569
"Papuan Central Range sub-alpine grasslands",148,4.36706771936929
"Central Ranges xeric scrub",149,1.12328352330179
"Central Tallgrass prairie",151,3.32096313919286
"Central Tibetan Plateau alpine steppe",152,0.826303795304645
"Central Zambezian wet miombo woodlands",153,1.85971837254442
"Cerrado",154,2.99044547132678
"Changbai Mountains mixed forests",155,2.02109875518812
"Changjiang Plain evergreen forests",156,1.0856109607183
"Chao Phraya freshwater swamp forests",157,1.93668370741723
"Chao Phraya lowland moist deciduous forests",158,2.23920290887509
"Cherskii-Kolyma mountain tundra",160,-0.0210405194996651
"Chhota-Nagpur dry deciduous forests",161,0.679399978480928
"Chiapas Depression dry forests",162,2.60365692463316
"Chiapas montane forests",163,2.45026587921876
"Chihuahuan desert",164,1.74110276918448
"Chilean Matorral",165,1.44533707162547
"Chimalapas montane forests",166,2.86499943958747
"Chin Hills-Arakan Yoma montane forests",167,1.30626124431965
"Chiquitano dry forests",168,3.37921669850661
"Chocó-Darién moist forests",169,1.96157274748097
"Chukchi Peninsula tundra",171,-0.226029948351825
"Colorado Plateau shrublands",174,1.68628890999041
"Colorado Rockies forests",175,2.38558024056
"Comoros forests",176,0.612106946218661
"Cook Inlet taiga",177,1.54534974024188
"Cook Islands tropical moist forests",178,3.92816144889075
"Coolgardie woodlands",179,1.28993835672988
"Copper Plateau taiga",180,0.799607956972179
"Cordillera Central páramo",181,2.92761152536065
"Cordillera de Merida páramo",182,4.44662637624143
"Cordillera La Costa montane forests",183,3.44539446178338
"Cordillera Oriental montane forests",184,3.11460147696
"Corsican montane broadleaf and mixed forests",185,2.13384034844595
"Costa Rican seasonal moist forests",186,2.38221717076262
"Crete Mediterranean forests",187,1.65709588522591
"Crimean Submediterranean forest complex",188,2.51853417753028
"Cross-Niger transition forests",189,-0.679891888578604
"Cross-Sanaga-Bioko coastal forests",190,-0.684812199235456
"Cross-Timbers savanna-woodland",191,2.99006844776448
"Cuban cactus scrub",192,2.6095354931862
"Cuban dry forests",193,2.59224388323921
"Cuban moist forests",194,2.63781391518964
"Cuban pine forests",195,2.62417320317419
"Cuban wetlands",196,2.51046372061792
"Cyprus Mediterranean forests",197,1.92052163388829
"Da Hinggan-Dzhagdy Mountains conifer forests",198,1.42695959857252
"Daba Mountains evergreen forests",199,1.65596781802998
"Daurian forest steppe",200,1.49534243095636
"Davis Highlands tundra",201,-0.81310923982328
"Deccan thorn scrub forests",202,1.21385724353966
"Dinaric Mountains mixed forests",203,2.23979590776105
"Djibouti xeric shrublands",204,1.67200759885862
"Drakensberg Escarpment savanna and thicket",205,2.77220300724164
"Drakensberg grasslands",206,2.48360117490492
"Rock and Ice",207,-0.902197418475154
"Dry Chaco",208,2.45759638305879
"East Afghan montane conifer forests",209,1.4925333169149
"East African halophytics",210,2.89134199476468
"East African mangroves",211,2.02036703422543
"East African montane forests",212,1.80859552499984
"East Arabian fog shrublands and sand desert",214,0.629875248094368
"East Central Texas forests",215,3.03364201593725
"East Deccan dry-evergreen forests",216,0.990575776775266
"East European forest steppe",217,2.30727879315368
"East Sahara Desert",218,-0.128969809227929
"East Saharan montane xeric woodlands",219,0.877373864005263
"East Siberian taiga",220,0.666715629874607
"East Sudanian savanna",221,1.0046661493695
"Eastern Anatolian deciduous forests",222,1.9330225366924
"Eastern Anatolian montane steppe",223,2.01850136746443
"Eastern Arc forests",224,2.1976955502959
"Eastern Australia mulga shrublands",225,1.59056145548101
"Eastern Australian temperate forests",226,3.37718166383721
"Eastern Canadian forests",227,1.45406702972242
"Eastern Canadian Shield taiga",228,0.481407922553437
"Eastern Cascades forests",229,2.76336907871697
"Eastern Congolian swamp forests",230,0.25757602010663
"Eastern Cordillera Real montane forests",231,2.33303573762273
"Eastern Canadian Forest-Boreal transition",232,2.32091820009041
"Eastern Gobi desert steppe",233,0.594664645324998
"Eastern Great Lakes lowland forests",234,3.13743115576298
"Eastern Guinean forests",235,0.378574161626282
"East Deccan moist deciduous forests",236,0.701791238332607
"Eastern Himalayan alpine shrub and meadows",237,2.05348134496644
"Eastern Himalayan broadleaf forests",238,1.43432454034911
"Eastern Himalayan subalpine conifer forests",239,2.21959009724472
"Eastern Java-Bali montane rain forests",240,1.47547058724767
"Eastern Java-Bali rain forests",241,1.55963169704234
"Eastern Mediterranean conifer-broadleaf forests",242,1.70330155604469
"Eastern Panamanian montane forests",244,2.36871800756633
"Ecuadorian dry forests",245,2.31591487830433
"Edwards Plateau savanna",246,2.29124520816482
"Einasleigh upland savanna",247,2.75415949437129
"Elburz Range forest steppe",248,1.99569474539137
"Emin Valley steppe",251,1.57247160538003
"English Lowlands beech forests",253,2.26104841353324
"Enriquillo wetlands",254,2.55100634837897
"Eritrean coastal desert",255,1.44408973373155
"Esperance mallee",256,1.75771804082622
"Espinal",257,2.29638320851572
"Ethiopian montane forests",258,1.13408229841407
"Ethiopian montane grasslands and woodlands",259,1.53138627234935
"Ethiopian montane moorlands",260,1.49019870518834
"Etosha Pan halophytics",261,2.20176921009748
"Euxine-Colchic broadleaf forests",262,2.29890799752793
"Everglades flooded grasslands",263,2.85302403565246
"Eyre and York mallee",264,1.71411435851463
"Faroe Islands boreal grasslands",265,2.06799939768415
"Fiji tropical dry forests",267,3.31598845365444
"Fiji tropical moist forests",268,3.44954705702171
"Fiordland temperate forests",269,2.4059916823668
"Flinders-Lofty montane woodlands",270,1.52367546810723
"Flint Hills tallgrass prairie",271,3.33409014623309
"Fraser Plateau and Basin conifer forests",272,2.11401295315825
"Fynbos shrubland",273,3.29461396066377
"Galápagos Islands xeric scrub",274,1.63509389519312
"Gariep Karoo",275,1.38870035405295
"Ghorat-Hazarajat alpine meadow",276,1.11544449722041
"Gibson desert",277,0.728158449390612
"Gissaro-Alai open woodlands",278,2.07941351021723
"Godavari-Krishna mangroves",279,0.834363688318575
"Gobi Lakes Valley desert steppe",280,0.650377102794068
"Great Basin montane forests",282,1.91633666285708
"Great Basin shrub steppe",283,1.44568265655722
"Great Lakes Basin desert steppe",284,1.13433662077039
"Great Sandy-Tanami desert",285,1.13014029481496
"Great Victoria desert",286,0.710189022748993
"Greater Negros-Panay rain forests",287,2.939499600401
"Guajira-Barranquilla xeric scrub",288,2.99095348726326
"Guayaquil flooded grasslands",289,2.29865627954794
"Guianan freshwater swamp forests",290,3.07581024233063
"Guianan Highlands moist forests",291,3.11864921442801
"Guianan lowland moist forests",292,2.99227586295268
"Guianan piedmont moist forests",293,3.06062707419635
"Guianan savanna",294,3.3754710265207
"Guinean forest-savanna",295,0.123223148655336
"Guinean mangroves",296,-0.705391707018958
"Guinean montane forests",297,-0.481698430558482
"Guizhou Plateau broadleaf and mixed forests",298,1.50875720153397
"Gulf of California xeric scrub",299,0.87912736740615
"Gulf of St. Lawrence lowland forests",300,2.74736164843066
"Gurupa várzea",301,3.92215535076235
"Hainan Island monsoon rain forests",302,1.49291707583738
"Halmahera rain forests",303,3.26314708845454
"Hampton mallee and woodlands",304,1.09703405693258
"Hawai'i tropical dry forests",305,3.31335758175202
"Hawai'i tropical high shrublands",306,2.8792305442965
"Hawai'i tropical low shrublands",307,2.42973188791834
"Hawai'i tropical moist forests",308,4.21950274892264
"Helanshan montane conifer forests",309,1.13604671217165
"Hengduan Mountains subalpine conifer forests",310,2.50451452597255
"Canadian High Arctic tundra",311,-1.00043675655423
"High Monte",312,1.23771181628564
"Highveld grasslands",313,2.30729406790799
"Himalayan subtropical broadleaf forests",314,0.872984167039178
"Himalayan subtropical pine forests",315,1.72701572685116
"Hindu Kush alpine meadow",316,1.78540971142851
"Hispaniolan dry forests",317,2.543548651988
"Hispaniolan moist forests",318,2.59549860783145
"Hispaniolan pine forests",319,2.61080676748663
"Hobyo grasslands and shrublands",320,1.22422059664122
"Hokkaido deciduous forests",321,2.62209194440329
"Hokkaido montane conifer forests",322,2.70009492253786
"Honshu alpine conifer forests",323,2.78593003046806
"Horn of Africa xeric bushlands",324,1.25558363317764
"Huang He Plain mixed forests",325,1.37079633280907
"Humid Chaco",326,2.66991104548518
"Humid Pampas",327,2.62606551721736
"Huon Peninsula montane rain forests",328,4.51387416513565
"Iberian conifer forests",329,2.15686036138921
"Iberian sclerophyllous and semi-deciduous forests",330,2.1162063219789
"Iceland boreal birch forests and alpine tundra",331,1.15529317775373
"Illyrian deciduous forests",332,2.38650925748489
"Indochina mangroves",333,1.90124585464254
"Indus River Delta-Arabian Sea mangroves",334,1.16705718253232
"Indus Valley desert",335,1.5056354672615
"Inner Niger Delta flooded savanna",336,1.63509525399352
"Interior Alaska-Yukon lowland taiga",337,0.542654059805047
"Interior Plateau US Hardwood Forests",338,3.71623359853051
"Interior Yukon-Alaska alpine tundra",339,0.348237039521708
"Iquitos várzea",340,2.97283857977522
"Irrawaddy dry forests",341,2.19447420276354
"Irrawaddy freshwater swamp forests",342,1.69825198211517
"Irrawaddy moist deciduous forests",343,1.85473951726016
"Isthmian-Atlantic moist forests",345,2.34376534399956
"Isthmian-Pacific moist forests",346,2.0268724379999
"Italian sclerophyllous and semi-deciduous forests",347,2.09051880454795
"Itigi-Sumbu thicket",348,2.13235955066123
"Jalisco dry forests",349,3.00475707864291
"Jamaican dry forests",350,2.56354922171218
"Jamaican moist forests",351,2.6066308967211
"Japurá-Solimões-Negro moist forests",352,3.30536920599501
"Jarrah-Karri forest and shrublands",353,2.64563996753698
"Jian Nan subtropical evergreen forests",354,1.16932664152046
"Jos Plateau forest-grassland",355,0.7260445181391
"Junggar Basin semi-desert",357,0.872136908693758
"Juruá-Purus moist forests",358,3.53198201749912
"Kalaallit Nunaat High Arctic tundra",359,-1.0537109845364
"Kalahari Acacia woodlands",360,2.08407506058852
"Kalahari xeric savanna",361,1.71857003766649
"Kamchatka-Kurile meadows and sparse forests",362,1.13932698643581
"Kamchatka taiga",363,1.21527956335479
"Kaokoveld desert",364,1.09611992758588
"Karakoram-West Tibetan Plateau alpine steppe",365,1.28058463676695
"Kayah-Karen montane rain forests",366,2.49193221771175
"Kazakh forest steppe",367,1.94148156046138
"Kazakh semi-desert",368,0.950687256508894
"Kazakh steppe",369,1.56660422846225
"Kazakh upland steppe",370,1.42488803744517
"Khangai Mountains alpine meadow",372,1.14089858640893
"Khangai Mountains conifer forests",373,1.27202359620705
"Khathiar-Gir dry deciduous forests",374,1.17761946727425
"Kimberly tropical savanna",375,2.17254877421709
"Kinabalu montane alpine meadows",376,3.46061830918334
"Klamath-Siskiyou forests",377,3.98735213178529
"Knysna-Amatole montane forests",378,3.61797839581279
"Kola Peninsula tundra",379,0.987960701755607
"Kopet Dag semi-desert",380,1.27819539730574
"Kopet Dag woodlands and forest steppe",381,1.40245704893428
"Kuh Rud and Eastern Iran montane woodlands",382,0.936566704780343
"Kwazulu Natal-Cape coastal forests",383,2.83789353885811
"La Costa xeric shrublands",384,2.86813725312923
"Lake Chad flooded savanna",385,1.46136014810273
"Lara-Falcón dry forests",386,3.15488044610939
"Leeward Islands moist forests",387,2.19483445154566
"Lesser Sundas deciduous forests",388,1.84995900389168
"Limpopo lowveld",389,2.71377707096684
"Llanos",390,2.55377747449281
"Lord Howe Island subtropical forests",391,3.38318239872042
"Louisiade Archipelago rain forests",392,3.76567339878371
